Subject,Body,Attachment,Label
You won a prize!,This is your chance to change your life.,No,spam
Invoice discrepancy,How do I update my billing information?,No,support
Happy Birthday!,Can you send me the slides from the presentation?,No,ham
Verify your account,Your account has been compromised. Please click the link to secure it.,No,phishing
Password expiration notice,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Bank account alert,We need to verify your information for security purposes.,Yes,phishing
Important security update,Please confirm your recent transaction.,Yes,phishing
Investment opportunity,This is your chance to change your life.,No,spam
Where is my order?,Can you please help me reset my password?,No,support
Bank account alert,"To unlock your account, please sign in here.",Yes,phishing
Act now!,Click here to claim your prize today.,No,spam
Login to view message,Your account has been compromised. Please click the link to secure it.,No,phishing
Check your recent transaction,We need to verify your information for security purposes.,Yes,phishing
Final warning,"To unlock your account, please sign in here.",No,phishing
Your lucky day,Guaranteed returns on your investment.,Yes,spam
Team outing,Attached is the latest version of the project report.,No,ham
Quick question,Attached is the latest version of the project report.,No,ham
Exclusive offer just for you,Click here to claim your prize today.,No,spam
Happy Birthday!,Can you send me the slides from the presentation?,Yes,ham
Meeting notes,Hope you have a great birthday!,No,ham
Meeting notes,Let's grab dinner tonight at that new place.,No,ham
Act now!,"Limited stock available, order now.",Yes,spam
Follow up,Are you free this weekend for a hike?,Yes,ham
Payment failed,I'm getting an error message when I try to pay.,No,support
Login to view message,Please update your payment information to avoid service interruption.,Yes,phishing
Team outing,Hope you have a great birthday!,No,ham
Huge discount inside,Guaranteed returns on your investment.,No,spam
Technical issue,How do I update my billing information?,Yes,support
Win a free iPhone,Reply to this email to claim your gift.,No,spam
Important security update,Please confirm your recent transaction.,Yes,phishing
Login problems,I'm getting an error message when I try to pay.,No,support
Technical issue,I'm getting an error message when I try to pay.,Yes,support
Secure your account now,Failure to respond will result in account termination.,No,phishing
Error message on login,I'm getting an error message when I try to pay.,No,support
Urgent: Account compromised,"To unlock your account, please sign in here.",No,phishing
Refund request,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Invoice discrepancy,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
App crashing,I have a question about my recent invoice.,Yes,support
Checking in,Do you have a minute to chat?,No,ham
Secure your account now,We need to verify your information for security purposes.,Yes,phishing
Win a free iPhone,Sign up today and get a free trial.,No,spam
Project update,Just confirming we’re still on for lunch at 12:30.,No,ham
Invoice discrepancy,How do I update my billing information?,No,support
Payment failed,My order hasn't arrived yet. Can you check the status?,Yes,support
Can we reschedule?,Attached is the latest version of the project report.,No,ham
Final warning,Failure to respond will result in account termination.,Yes,phishing
Urgent: Account compromised,Click the link below to reset your password.,Yes,phishing
Suspicious activity detected,Failure to respond will result in account termination.,No,phishing
Your account will be locked,Your account will be suspended if you do not verify your details.,No,phishing
Please validate your credentials,Your account will be suspended if you do not verify your details.,No,phishing
Free gift card,"Limited stock available, order now.",No,spam
Best deals of the year,This is your chance to change your life.,Yes,spam
Change email address,Can you please help me reset my password?,No,support
Quick question,Attached is the latest version of the project report.,No,ham
Your access is restricted,"To unlock your account, please sign in here.",No,phishing
App crashing,I would like to request a refund for my last purchase.,No,support
Verify your account,Click the link below to reset your password.,Yes,phishing
Bug report,I'm getting an error message when I try to pay.,No,support
Confirm your identity,Someone tried to log in to your account from a new device.,No,phishing
Meet singles near you,You have been selected for a special offer.,No,spam
Lose weight fast,This is your chance to change your life.,Yes,spam
Invitation,Let's grab dinner tonight at that new place.,No,ham
Urgent: Account compromised,Failure to respond will result in account termination.,Yes,phishing
Vacation photos,Let's grab dinner tonight at that new place.,No,ham
Lose weight fast,Click here to claim your prize today.,Yes,spam
Final warning,Please update your payment information to avoid service interruption.,Yes,phishing
Lowest prices guaranteed,"Limited stock available, order now.",Yes,spam
Password reset help,How do I update my billing information?,Yes,support
Draft report,Here are the notes from today's meeting.,No,ham
Project update,Attached is the latest version of the project report.,No,ham
Important security update,Please confirm your recent transaction.,Yes,phishing
Lowest prices guaranteed,Sign up today and get a free trial.,No,spam
Please validate your credentials,We detected unusual activity. Verify your identity immediately.,No,phishing
Can we reschedule?,Can you send me the slides from the presentation?,No,ham
Vacation photos,Can you send me the slides from the presentation?,No,ham
App crashing,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Exclusive offer just for you,Click here to claim your prize today.,No,spam
Exclusive offer just for you,Sign up today and get a free trial.,Yes,spam
Unable to access account,Can you please help me reset my password?,Yes,support
Team outing,Are you free this weekend for a hike?,Yes,ham
Coffee break,Hope you have a great birthday!,No,ham
Suspicious activity detected,Please update your payment information to avoid service interruption.,Yes,phishing
Unauthorized login attempt,"To unlock your account, please sign in here.",Yes,phishing
Meet singles near you,Click here to claim your prize today.,No,spam
Claim your reward now,No credit check required.,Yes,spam
Unable to access account,Can you please help me reset my password?,No,support
Meeting notes,Do you have a minute to chat?,Yes,ham
Exclusive offer just for you,Sign up today and get a free trial.,No,spam
Urgent: Account compromised,We detected unusual activity. Verify your identity immediately.,No,phishing
Reminder: Doctor's appointment,Here are some photos from my trip.,No,ham
Your access is restricted,We need to verify your information for security purposes.,Yes,phishing
Lottery winner,Don't miss out on this amazing opportunity.,Yes,spam
Lottery winner,"Limited stock available, order now.",No,spam
Lowest prices guaranteed,You have been selected for a special offer.,No,spam
Claim your reward now,Sign up today and get a free trial.,Yes,spam
Follow up,Let's grab dinner tonight at that new place.,Yes,ham
Huge discount inside,Click here to claim your prize today.,No,spam
Invitation,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Please validate your credentials,"To unlock your account, please sign in here.",Yes,phishing
Lowest prices guaranteed,Reply to this email to claim your gift.,Yes,spam
You won a prize!,Guaranteed returns on your investment.,No,spam
Coffee break,Can you send me the slides from the presentation?,No,ham
Thank you,Can you send me the slides from the presentation?,Yes,ham
Investment opportunity,Reply to this email to claim your gift.,Yes,spam
Good morning,Do you have a minute to chat?,Yes,ham
Login to view message,"To unlock your account, please sign in here.",No,phishing
Contact support,I have a question about my recent invoice.,No,support
Your access is restricted,Please confirm your recent transaction.,Yes,phishing
Verify your email address,Your account has been compromised. Please click the link to secure it.,No,phishing
Quick question,Attached is the latest version of the project report.,Yes,ham
Dinner tonight?,Are you free this weekend for a hike?,No,ham
Invitation,Do you have a minute to chat?,Yes,ham
Exclusive offer just for you,Don't miss out on this amazing opportunity.,No,spam
Confirm your identity,We detected unusual activity. Verify your identity immediately.,No,phishing
Help needed,I have a question about my recent invoice.,Yes,support
Free gift card,"Limited stock available, order now.",Yes,spam
Dinner tonight?,Attached is the latest version of the project report.,No,ham
Secure your account now,"To unlock your account, please sign in here.",No,phishing
Quick question,Here are some photos from my trip.,Yes,ham
Team outing,Let's grab dinner tonight at that new place.,No,ham
Lose weight fast,Buy now and save 50%.,Yes,spam
Security Alert,Failure to respond will result in account termination.,Yes,phishing
Lose weight fast,Reply to this email to claim your gift.,Yes,spam
Your account will be locked,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Password reset help,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Meet singles near you,Sign up today and get a free trial.,No,spam
Team outing,Here are the notes from today's meeting.,Yes,ham
Thank you,Are you free this weekend for a hike?,Yes,ham
Make money from home,No credit check required.,No,spam
Happy Birthday!,Are you free this weekend for a hike?,No,ham
Suspicious activity detected,We need to verify your information for security purposes.,No,phishing
Billing question,I'm getting an error message when I try to pay.,No,support
Refund request,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Follow up,Hope you have a great birthday!,Yes,ham
Password expiration notice,"To unlock your account, please sign in here.",No,phishing
Meet singles near you,Buy now and save 50%.,Yes,spam
Feature request,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Need assistance with setup,How do I update my billing information?,No,support
Happy Birthday!,Attached is the latest version of the project report.,Yes,ham
Can we reschedule?,Hope you have a great birthday!,No,ham
Draft report,Here are the notes from today's meeting.,No,ham
Suspicious activity detected,"To unlock your account, please sign in here.",No,phishing
Good morning,Hope you have a great birthday!,No,ham
Secure your account now,"To unlock your account, please sign in here.",Yes,phishing
Security Alert,We detected unusual activity. Verify your identity immediately.,No,phishing
Your account will be locked,Your account will be suspended if you do not verify your details.,No,phishing
Get rich quick,Don't miss out on this amazing opportunity.,Yes,spam
Check your recent transaction,Your account has been compromised. Please click the link to secure it.,No,phishing
Action required immediately,We need to verify your information for security purposes.,Yes,phishing
Lottery winner,Don't miss out on this amazing opportunity.,No,spam
Reminder: Doctor's appointment,Are you free this weekend for a hike?,Yes,ham
Draft report,Just wanted to check in and see how you're doing.,Yes,ham
Good morning,Are you free this weekend for a hike?,No,ham
Unusual sign-in activity,Your account will be suspended if you do not verify your details.,No,phishing
See you later,Hope you have a great birthday!,Yes,ham
Make money from home,No credit check required.,Yes,spam
Urgent: Account compromised,Please update your payment information to avoid service interruption.,Yes,phishing
Can we reschedule?,Let's grab dinner tonight at that new place.,Yes,ham
See you later,Here are the notes from today's meeting.,Yes,ham
Login to view message,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Can we reschedule?,Just confirming we’re still on for lunch at 12:30.,No,ham
Unable to access account,The app keeps crashing on my phone.,No,support
Win a free iPhone,Buy now and save 50%.,No,spam
Payment failed,I'm getting an error message when I try to pay.,Yes,support
Cheap meds online,Don't miss out on this amazing opportunity.,No,spam
Claim your reward now,No credit check required.,No,spam
Unusual sign-in activity,Someone tried to log in to your account from a new device.,Yes,phishing
Feature request,I'm getting an error message when I try to pay.,Yes,support
You won a prize!,This is your chance to change your life.,Yes,spam
Can we reschedule?,Can you send me the slides from the presentation?,Yes,ham
Draft report,Can you send me the slides from the presentation?,No,ham
Presentation slides,Are you free this weekend for a hike?,No,ham
Password expiration notice,We need to verify your information for security purposes.,Yes,phishing
Meet singles near you,No credit check required.,No,spam
You won a prize!,This is your chance to change your life.,No,spam
Quick question,Here are some photos from my trip.,No,ham
Make money from home,Click here to claim your prize today.,No,spam
Login to view message,Failure to respond will result in account termination.,No,phishing
Vacation photos,Are you free this weekend for a hike?,No,ham
Claim your reward now,Click here to claim your prize today.,Yes,spam
Vacation photos,Can you send me the slides from the presentation?,No,ham
Make money from home,This is your chance to change your life.,Yes,spam
Draft report,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Dinner tonight?,Just wanted to check in and see how you're doing.,Yes,ham
Please validate your credentials,We detected unusual activity. Verify your identity immediately.,No,phishing
Technical issue,I have a question about my recent invoice.,No,support
Best deals of the year,Buy now and save 50%.,No,spam
Payment failed,Please assist me with unlocking my account.,Yes,support
See you later,Here are some photos from my trip.,No,ham
Lottery winner,Sign up today and get a free trial.,Yes,spam
Unable to access account,My order hasn't arrived yet. Can you check the status?,No,support
Action required immediately,Please confirm your recent transaction.,Yes,phishing
Weekend plans,Attached is the latest version of the project report.,No,ham
Happy Birthday!,Here are some photos from my trip.,No,ham
Subscription renewal,I would like to request a refund for my last purchase.,No,support
Exclusive offer just for you,No credit check required.,Yes,spam
Subscription renewal,I can't find the setting to change my email.,No,support
Subscription renewal,How do I update my billing information?,No,support
Subscription renewal,Can you please help me reset my password?,Yes,support
Lowest prices guaranteed,Click here to claim your prize today.,Yes,spam
Your account will be locked,Please confirm your recent transaction.,No,phishing
Billing question,Can you please help me reset my password?,Yes,support
See you later,Let's grab dinner tonight at that new place.,Yes,ham
Feature request,I can't find the setting to change my email.,Yes,support
Quick question,Let's grab dinner tonight at that new place.,Yes,ham
Secure your account now,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Make money from home,Buy now and save 50%.,Yes,spam
Login to view message,Please update your payment information to avoid service interruption.,No,phishing
Contact support,I can't find the setting to change my email.,Yes,support
Technical issue,I would like to request a refund for my last purchase.,No,support
Win a free iPhone,Buy now and save 50%.,No,spam
Thank you,Here are some photos from my trip.,Yes,ham
Login to view message,We need to verify your information for security purposes.,Yes,phishing
Thank you,Attached is the latest version of the project report.,No,ham
Claim your reward now,You have been selected for a special offer.,No,spam
Checking in,Here are some photos from my trip.,Yes,ham
Get rich quick,You have been selected for a special offer.,Yes,spam
Vacation photos,Here are the notes from today's meeting.,Yes,ham
Billing question,How do I update my billing information?,Yes,support
Lose weight fast,Guaranteed returns on your investment.,No,spam
Meeting notes,Hope you have a great birthday!,Yes,ham
Investment opportunity,Don't miss out on this amazing opportunity.,Yes,spam
Technical issue,I can't find the setting to change my email.,No,support
Huge discount inside,This is your chance to change your life.,Yes,spam
Check your recent transaction,We need to verify your information for security purposes.,No,phishing
Casino bonus,Reply to this email to claim your gift.,Yes,spam
Casino bonus,This is your chance to change your life.,No,spam
Checking in,Do you have a minute to chat?,No,ham
Project update,Let's grab dinner tonight at that new place.,Yes,ham
Password reset help,How do I update my billing information?,No,support
Login problems,My order hasn't arrived yet. Can you check the status?,No,support
Payment failed,How do I update my billing information?,No,support
Secure your account now,Someone tried to log in to your account from a new device.,No,phishing
Billing question,Can you please help me reset my password?,Yes,support
Project update,Do you have a minute to chat?,No,ham
Coffee break,Attached is the latest version of the project report.,No,ham
Best deals of the year,Guaranteed returns on your investment.,No,spam
Congratulations! You are a winner,Sign up today and get a free trial.,Yes,spam
Final warning,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Action required immediately,Failure to respond will result in account termination.,Yes,phishing
See you later,Let's grab dinner tonight at that new place.,Yes,ham
Exclusive offer just for you,Guaranteed returns on your investment.,No,spam
Casino bonus,Buy now and save 50%.,Yes,spam
Your access is restricted,Please confirm your recent transaction.,Yes,phishing
Change email address,I have a question about my recent invoice.,No,support
Unauthorized login attempt,Failure to respond will result in account termination.,No,phishing
Lunch tomorrow,Let's grab dinner tonight at that new place.,Yes,ham
Feature request,My order hasn't arrived yet. Can you check the status?,Yes,support
Payment failed,Can you please help me reset my password?,Yes,support
Suspicious activity detected,Your account has been compromised. Please click the link to secure it.,No,phishing
See you later,Here are the notes from today's meeting.,No,ham
Get rich quick,Sign up today and get a free trial.,No,spam
Urgent: Account compromised,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Error message on login,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Lose weight fast,This is your chance to change your life.,Yes,spam
Please validate your credentials,"To unlock your account, please sign in here.",No,phishing
Presentation slides,Attached is the latest version of the project report.,No,ham
See you later,Here are some photos from my trip.,No,ham
Reminder: Doctor's appointment,Let's grab dinner tonight at that new place.,No,ham
Suspicious activity detected,We need to verify your information for security purposes.,Yes,phishing
Huge discount inside,Buy now and save 50%.,Yes,spam
Best deals of the year,Click here to claim your prize today.,No,spam
Account locked,Can you please help me reset my password?,No,support
Bug report,The app keeps crashing on my phone.,Yes,support
Verify your email address,Your account will be suspended if you do not verify your details.,Yes,phishing
Good morning,Hope you have a great birthday!,No,ham
Weekend plans,Here are the notes from today's meeting.,Yes,ham
Help needed,I have a question about my recent invoice.,Yes,support
Unable to access account,Can you please help me reset my password?,Yes,support
Vacation photos,Do you have a minute to chat?,No,ham
Account locked,The app keeps crashing on my phone.,No,support
Help needed,Can you please help me reset my password?,No,support
Thank you,Hope you have a great birthday!,Yes,ham
Your account will be locked,"To unlock your account, please sign in here.",No,phishing
Technical issue,Please assist me with unlocking my account.,No,support
Security Alert,Failure to respond will result in account termination.,No,phishing
Quick question,Are you free this weekend for a hike?,Yes,ham
Get rich quick,Don't miss out on this amazing opportunity.,No,spam
Investment opportunity,Click here to claim your prize today.,Yes,spam
Verify your email address,"To unlock your account, please sign in here.",No,phishing
Login problems,The app keeps crashing on my phone.,Yes,support
Need assistance with setup,My order hasn't arrived yet. Can you check the status?,Yes,support
Your access is restricted,We detected unusual activity. Verify your identity immediately.,No,phishing
Win a free iPhone,No credit check required.,No,spam
Suspicious activity detected,"To unlock your account, please sign in here.",Yes,phishing
Error message on login,I can't find the setting to change my email.,Yes,support
Need assistance with setup,I have a question about my recent invoice.,Yes,support
Investment opportunity,Sign up today and get a free trial.,Yes,spam
Huge discount inside,You have been selected for a special offer.,Yes,spam
Verify your email address,We need to verify your information for security purposes.,Yes,phishing
You won a prize!,Guaranteed returns on your investment.,No,spam
Subscription renewal,How do I update my billing information?,Yes,support
Casino bonus,This is your chance to change your life.,Yes,spam
Team outing,Can you send me the slides from the presentation?,No,ham
Good morning,Hope you have a great birthday!,No,ham
Feature request,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Thank you,Can you send me the slides from the presentation?,Yes,ham
Secure your account now,Someone tried to log in to your account from a new device.,No,phishing
Bank account alert,Your account has been compromised. Please click the link to secure it.,No,phishing
Coffee break,Here are some photos from my trip.,No,ham
Coffee break,Hope you have a great birthday!,Yes,ham
Billing question,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Happy Birthday!,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Refund request,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Presentation slides,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Exclusive offer just for you,This is your chance to change your life.,Yes,spam
Win a free iPhone,Sign up today and get a free trial.,No,spam
Login to view message,We need to verify your information for security purposes.,No,phishing
Payment failed,I would like to request a refund for my last purchase.,Yes,support
Coffee break,Are you free this weekend for a hike?,No,ham
Team outing,Here are the notes from today's meeting.,Yes,ham
Claim your reward now,No credit check required.,Yes,spam
Need assistance with setup,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Unauthorized login attempt,We detected unusual activity. Verify your identity immediately.,No,phishing
Security Alert,Failure to respond will result in account termination.,Yes,phishing
Order status inquiry,I have a question about my recent invoice.,No,support
Check your recent transaction,Please update your payment information to avoid service interruption.,Yes,phishing
Subscription renewal,I would like to request a refund for my last purchase.,Yes,support
Update your payment info,Your account will be suspended if you do not verify your details.,No,phishing
Happy Birthday!,Are you free this weekend for a hike?,No,ham
Secure your account now,"To unlock your account, please sign in here.",No,phishing
Security Alert,Please confirm your recent transaction.,Yes,phishing
Bank account alert,We need to verify your information for security purposes.,Yes,phishing
App crashing,Can you please help me reset my password?,Yes,support
Password expiration notice,We need to verify your information for security purposes.,No,phishing
Invitation,Just wanted to check in and see how you're doing.,Yes,ham
Can we reschedule?,Just wanted to check in and see how you're doing.,No,ham
Unusual sign-in activity,Please update your payment information to avoid service interruption.,No,phishing
Win a free iPhone,Buy now and save 50%.,No,spam
Login to view message,Click the link below to reset your password.,No,phishing
Login problems,My order hasn't arrived yet. Can you check the status?,No,support
Help needed,I'm getting an error message when I try to pay.,No,support
Act now!,Reply to this email to claim your gift.,Yes,spam
Subscription renewal,The app keeps crashing on my phone.,Yes,support
Meeting notes,Just wanted to check in and see how you're doing.,No,ham
Invitation,Are you free this weekend for a hike?,Yes,ham
Need assistance with setup,How do I update my billing information?,No,support
Payment failed,I can't find the setting to change my email.,No,support
Error message on login,I have a question about my recent invoice.,No,support
Lose weight fast,Click here to claim your prize today.,No,spam
Secure your account now,Please confirm your recent transaction.,Yes,phishing
Confirm your identity,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Change email address,The app keeps crashing on my phone.,No,support
Casino bonus,Don't miss out on this amazing opportunity.,No,spam
Dinner tonight?,Here are some photos from my trip.,No,ham
Congratulations! You are a winner,Click here to claim your prize today.,Yes,spam
You won a prize!,This is your chance to change your life.,Yes,spam
Your account will be locked,Your account will be suspended if you do not verify your details.,No,phishing
Order status inquiry,Please assist me with unlocking my account.,Yes,support
See you later,Can you send me the slides from the presentation?,No,ham
Billing question,Please assist me with unlocking my account.,Yes,support
Reminder: Doctor's appointment,Here are some photos from my trip.,No,ham
Action required immediately,"To unlock your account, please sign in here.",No,phishing
Change email address,Please assist me with unlocking my account.,Yes,support
Limited time offer,Guaranteed returns on your investment.,Yes,spam
Presentation slides,Here are the notes from today's meeting.,Yes,ham
Huge discount inside,You have been selected for a special offer.,Yes,spam
Exclusive offer just for you,This is your chance to change your life.,No,spam
Vacation photos,Are you free this weekend for a hike?,No,ham
Please validate your credentials,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Lose weight fast,Sign up today and get a free trial.,No,spam
Login to view message,Please confirm your recent transaction.,No,phishing
Dinner tonight?,Let's grab dinner tonight at that new place.,Yes,ham
Draft report,Let's grab dinner tonight at that new place.,No,ham
Feature request,Please assist me with unlocking my account.,Yes,support
Make money from home,You have been selected for a special offer.,No,spam
Account locked,I have a question about my recent invoice.,No,support
Payment failed,I have a question about my recent invoice.,Yes,support
Team outing,Attached is the latest version of the project report.,Yes,ham
Password expiration notice,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Help needed,Please assist me with unlocking my account.,Yes,support
Password reset help,Can you please help me reset my password?,Yes,support
You won a prize!,You have been selected for a special offer.,Yes,spam
Billing question,I have a question about my recent invoice.,Yes,support
Lunch tomorrow,Let's grab dinner tonight at that new place.,Yes,ham
Claim your reward now,This is your chance to change your life.,No,spam
Happy Birthday!,Just confirming we’re still on for lunch at 12:30.,No,ham
Unusual sign-in activity,"To unlock your account, please sign in here.",Yes,phishing
Lowest prices guaranteed,"Limited stock available, order now.",No,spam
Technical issue,I'm getting an error message when I try to pay.,No,support
Quick question,Let's grab dinner tonight at that new place.,Yes,ham
Action required immediately,We need to verify your information for security purposes.,Yes,phishing
Feature request,Can you please help me reset my password?,No,support
Huge discount inside,"Limited stock available, order now.",Yes,spam
Need assistance with setup,My order hasn't arrived yet. Can you check the status?,No,support
Refund request,Please assist me with unlocking my account.,No,support
Technical issue,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Action required immediately,We detected unusual activity. Verify your identity immediately.,No,phishing
Lowest prices guaranteed,Click here to claim your prize today.,Yes,spam
Order status inquiry,My order hasn't arrived yet. Can you check the status?,Yes,support
Where is my order?,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Dinner tonight?,Are you free this weekend for a hike?,No,ham
Please validate your credentials,Please confirm your recent transaction.,No,phishing
Important security update,Your account has been compromised. Please click the link to secure it.,No,phishing
Quick question,Hope you have a great birthday!,Yes,ham
Your access is restricted,Click the link below to reset your password.,Yes,phishing
Checking in,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Claim your reward now,You have been selected for a special offer.,Yes,spam
Casino bonus,Guaranteed returns on your investment.,No,spam
Huge discount inside,"Limited stock available, order now.",Yes,spam
Subscription renewal,I have a question about my recent invoice.,No,support
App crashing,I have a question about my recent invoice.,No,support
Unable to access account,I'm getting an error message when I try to pay.,Yes,support
Suspicious activity detected,We detected unusual activity. Verify your identity immediately.,Yes,phishing
Congratulations! You are a winner,"Limited stock available, order now.",Yes,spam
Checking in,Do you have a minute to chat?,Yes,ham
Invitation,Hope you have a great birthday!,Yes,ham
Account locked,I have a question about my recent invoice.,Yes,support
Project update,Just confirming we’re still on for lunch at 12:30.,Yes,ham
Lunch tomorrow,Here are some photos from my trip.,Yes,ham
Best deals of the year,Buy now and save 50%.,No,spam
Payment failed,My order hasn't arrived yet. Can you check the status?,No,support
Act now!,Guaranteed returns on your investment.,No,spam
Contact support,My order hasn't arrived yet. Can you check the status?,Yes,support
See you later,Here are some photos from my trip.,No,ham
Your account will be locked,Please confirm your recent transaction.,Yes,phishing
Invitation,Do you have a minute to chat?,Yes,ham
See you later,Can you send me the slides from the presentation?,Yes,ham
Password reset help,I can't find the setting to change my email.,Yes,support
Verify your email address,Someone tried to log in to your account from a new device.,No,phishing
Confirm your identity,Failure to respond will result in account termination.,Yes,phishing
Best deals of the year,This is your chance to change your life.,Yes,spam
Refund request,Please assist me with unlocking my account.,Yes,support
Get rich quick,Guaranteed returns on your investment.,Yes,spam
Get rich quick,Sign up today and get a free trial.,No,spam
Login problems,How do I update my billing information?,Yes,support
Login to view message,Your account will be suspended if you do not verify your details.,Yes,phishing
Technical issue,The app keeps crashing on my phone.,Yes,support
Reminder: Doctor's appointment,Here are some photos from my trip.,No,ham
Reminder: Doctor's appointment,Do you have a minute to chat?,Yes,ham
Account locked,The app keeps crashing on my phone.,No,support
Meeting notes,Hope you have a great birthday!,No,ham
See you later,Hope you have a great birthday!,Yes,ham
Account locked,Please assist me with unlocking my account.,No,support
Team outing,Are you free this weekend for a hike?,Yes,ham
Presentation slides,Are you free this weekend for a hike?,No,ham
Where is my order?,I am unable to log in since yesterday. Please help me resolve this issue.,No,support
Password expiration notice,Please confirm your recent transaction.,No,phishing
Investment opportunity,Reply to this email to claim your gift.,Yes,spam
Unusual sign-in activity,Click the link below to reset your password.,Yes,phishing
Help needed,How do I update my billing information?,No,support
Login to view message,Someone tried to log in to your account from a new device.,No,phishing
Password expiration notice,Your account has been compromised. Please click the link to secure it.,No,phishing
Reminder: Doctor's appointment,Let's grab dinner tonight at that new place.,Yes,ham
Password reset help,Can you please help me reset my password?,Yes,support
Unauthorized login attempt,We need to verify your information for security purposes.,Yes,phishing
Lottery winner,No credit check required.,Yes,spam
Good morning,Here are some photos from my trip.,Yes,ham
Bug report,Please assist me with unlocking my account.,No,support
Exclusive offer just for you,Click here to claim your prize today.,Yes,spam
Free gift card,Don't miss out on this amazing opportunity.,Yes,spam
Reminder: Doctor's appointment,Do you have a minute to chat?,No,ham
Verify your email address,Someone tried to log in to your account from a new device.,Yes,phishing
Claim your reward now,You have been selected for a special offer.,No,spam
Your account will be locked,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Vacation photos,Attached is the latest version of the project report.,Yes,ham
App crashing,How do I update my billing information?,Yes,support
Vacation photos,Let's grab dinner tonight at that new place.,Yes,ham
Best deals of the year,This is your chance to change your life.,Yes,spam
Meet singles near you,Don't miss out on this amazing opportunity.,Yes,spam
Order status inquiry,How do I update my billing information?,No,support
Lunch tomorrow,Hope you have a great birthday!,Yes,ham
Secure your account now,Someone tried to log in to your account from a new device.,Yes,phishing
See you later,Attached is the latest version of the project report.,No,ham
Happy Birthday!,Here are some photos from my trip.,No,ham
Team outing,Do you have a minute to chat?,Yes,ham
Unauthorized login attempt,Your account has been compromised. Please click the link to secure it.,Yes,phishing
Feature request,I am unable to log in since yesterday. Please help me resolve this issue.,Yes,support
Update your payment info,Please update your payment information to avoid service interruption.,Yes,phishing
Final warning,We detected unusual activity. Verify your identity immediately.,No,phishing
Subscription renewal,I can't find the setting to change my email.,Yes,support
Confirm your identity,Your account will be suspended if you do not verify your details.,Yes,phishing
Cheap meds online,"Limited stock available, order now.",No,spam
Draft report,Do you have a minute to chat?,No,ham
Technical issue,How do I update my billing information?,Yes,support
Casino bonus,Guaranteed returns on your investment.,No,spam
Password expiration notice,We need to verify your information for security purposes.,No,phishing
Help needed,I have a question about my recent invoice.,No,support
Lose weight fast,Click here to claim your prize today.,Yes,spam
Your lucky day,Buy now and save 50%.,Yes,spam
Security Alert,Please update your payment information to avoid service interruption.,No,phishing
Refund request,I can't find the setting to change my email.,Yes,support
Action required immediately,We detected unusual activity. Verify your identity immediately.,No,phishing
Free gift card,Don't miss out on this amazing opportunity.,Yes,spam
Unauthorized login attempt,We detected unusual activity. Verify your identity immediately.,No,phishing
Exclusive offer just for you,Click here to claim your prize today.,Yes,spam
Vacation photos,Here are the notes from today's meeting.,Yes,ham
Password expiration notice,Your account will be suspended if you do not verify your details.,No,phishing
Dinner tonight?,Attached is the latest version of the project report.,No,ham
Action required immediately,Failure to respond will result in account termination.,Yes,phishing
Can we reschedule?,Can you send me the slides from the presentation?,Yes,ham
Update your payment info,"To unlock your account, please sign in here.",Yes,phishing
Payment failed,The app keeps crashing on my phone.,Yes,support
Please validate your credentials,Click the link below to reset your password.,No,phishing
Unusual sign-in activity,Please update your payment information to avoid service interruption.,No,phishing
Win a free iPhone,Guaranteed returns on your investment.,Yes,spam
Can we reschedule?,Here are some photos from my trip.,Yes,ham
